SUBURB,POSTCODE,PSTATE,CREATED,CREATED_BY,UPDATED,UPDATED_BY
AUSTRALIA SQUARE,1215,NSW,,,,
GROSVENOR PLACE,1220,NSW,,,,
ROYAL EXCHANGE,1225,NSW,,,,
QUEEN VICTORIA BUILDING,1230,NSW,,,,
SYDNEY SOUTH,1235,NSW,,,,
HAYMARKET,1240,NSW,,,,
DARLINGHURST,1300,NSW,,,,
POTTS POINT,1335,NSW,,,,
KINGS CROSS,1340,NSW,,,,
WOOLLAHRA,1350,NSW,,,,
BONDI JUNCTION,1355,NSW,,,,
DOUBLE BAY,1360,NSW,,,,
MOORE PARK,1363,NSW,,,,
STRAWBERRY HILLS,1420,NSW,,,,
STRAWBERRY HILLS,1424,NSW,,,,
STRAWBERRY HILLS,1427,NSW,,,,
ALEXANDRIA,1435,NSW,,,,
ROSEBERY,1445,NSW,,,,
CAMPERDOWN,1450,NSW,,,,
BOTANY,1455,NSW,,,,
MASCOT,1460,NSW,,,,
KENSINGTON,1465,NSW,,,,
DRUMMOYNE,1470,NSW,,,,
MARRICKVILLE,1475,NSW,,,,
KINGSGROVE,1480,NSW,,,,
HURSTVILLE BC,1481,NSW,,,,
KOGARAH,1485,NSW,,,,
MIRANDA,1490,NSW,,,,
CARINGBAH,1495,NSW,,,,
SUTHERLAND,1499,NSW,,,,
WEST CHATSWOOD,1515,NSW,,,,
NORTHBRIDGE,1560,NSW,,,,
MILSONS POINT,1565,NSW,,,,
ARTARMON,1570,NSW,,,,
CROWS NEST,1585,NSW,,,,
ST LEONARDS,1590,NSW,,,,
LANE COVE,1595,NSW,,,,
HORNSBY,1630,NSW,,,,
HORNSBY NORTHGATE,1635,NSW,,,,
FRENCHS FOREST,1639,NSW,,,,
FRENCHS FOREST,1640,NSW,,,,
MANLY,1655,NSW,,,,
MONA VALE,1660,NSW,,,,
NORTH RYDE BC,1670,NSW,,,,
GLADESVILLE,1675,NSW,,,,
RYDE,1680,NSW,,,,
WEST RYDE,1685,NSW,,,,
ERMINGTON,1700,NSW,,,,
RYDALMERE BC,1701,NSW,,,,
EPPING,1710,NSW,,,,
PENNANT HILLS,1715,NSW,,,,
SEVEN HILLS,1730,NSW,,,,
NORTH PARRAMATTA,1750,NSW,,,,
BAULKHAM HILLS,1755,NSW,,,,
CASTLE HILL,1765,NSW,,,,
ST MARYS,1790,NSW,,,,
ASHFIELD,1800,NSW,,,,
BURWOOD,1805,NSW,,,,
SILVERWATER,1811,NSW,,,,
LIDCOMBE,1825,NSW,,,,
AUBURN,1835,NSW,,,,
WETHERILL PARK DC,1851,NSW,,,,
FAIRFIELD,1860,NSW,,,,
LIVERPOOL,1871,NSW,,,,
MOOREBANK,1875,NSW,,,,
BANKSTOWN,1885,NSW,,,,
INGLEBURN,1890,NSW,,,,
MILPERRA DC,1891,NSW,,,,
AUSTRALIAN NATIONAL UNIVERSITY,200,ACT,,,,
DAWES POINT,2000,NSW,,,,
HAYMARKET,2000,NSW,,,,
MILLERS POINT,2000,NSW,,,,
ST JAMES,2000,NSW,,,,
SYDNEY,2000,NSW,,,,
SYDNEY SOUTH,2000,NSW,,,,
THE ROCKS,2000,NSW,,,,
SYDNEY,2001,NSW,,,,
EASTERN SUBURBS MC,2004,NSW,,,,
THE UNIVERSITY OF SYDNEY,2006,NSW,,,,
BROADWAY,2007,NSW,,,,
ULTIMO,2007,NSW,,,,
CHIPPENDALE,2008,NSW,,,,
DARLINGTON,2008,NSW,,,,
PYRMONT,2009,NSW,,,,
DARLINGHURST,2010,NSW,,,,
SURRY HILLS,2010,NSW,,,,
ELIZABETH BAY,2011,NSW,,,,
GARDEN ISLAND,2011,NSW,,,,
KINGS CROSS,2011,NSW,,,,
POTTS POINT,2011,NSW,,,,
RUSHCUTTERS BAY,2011,NSW,,,,
WOOLLOOMOOLOO,2011,NSW,,,,
STRAWBERRY HILLS,2012,NSW,,,,
BEACONSFIELD,2014,NSW,,,,
ALEXANDRIA,2015,NSW,,,,
BEACONSFIELD,2015,NSW,,,,
EVELEIGH,2015,NSW,,,,
REDFERN,2016,NSW,,,,
WATERLOO,2017,NSW,,,,
WATERLOO DC,2017,NSW,,,,
ZETLAND,2017,NSW,,,,
EASTLAKES,2018,NSW,,,,
ROSEBERY,2018,NSW,,,,
BANKSMEADOW,2019,NSW,,,,
BOTANY,2019,NSW,,,,
MASCOT,2020,NSW,,,,
SYDNEY AIRPORT,2020,NSW,,,,
SYDNEY INTERNATIONAL AIRPORT,2020,NSW,,,,
CENTENNIAL PARK,2021,NSW,,,,
PADDINGTON,2021,NSW,,,,
BONDI JUNCTION,2022,NSW,,,,
BONDI JUNCTION DC,2022,NSW,,,,
QUEENS PARK,2022,NSW,,,,
BELLEVUE HILL,2023,NSW,,,,
BRONTE,2024,NSW,,,,
WAVERLEY,2024,NSW,,,,
WOOLLAHRA,2025,NSW,,,,
BEN BUCKLER,2026,NSW,,,,
BONDI,2026,NSW,,,,
BONDI BEACH,2026,NSW,,,,
TAMARAMA,2026,NSW,,,,
DARLING POINT,2027,NSW,,,,
EDGECLIFF,2027,NSW,,,,
POINT PIPER,2027,NSW,,,,
DOUBLE BAY,2028,NSW,,,,
ROSE BAY,2029,NSW,,,,
DOVER HEIGHTS,2030,NSW,,,,
ROSE BAY NORTH,2030,NSW,,,,
VAUCLUSE,2030,NSW,,,,
WATSONS BAY,2030,NSW,,,,
CLOVELLY,2031,NSW,,,,
CLOVELLY WEST,2031,NSW,,,,
RANDWICK,2031,NSW,,,,
ST PAULS,2031,NSW,,,,
DACEYVILLE,2032,NSW,,,,
KINGSFORD,2032,NSW,,,,
KENSINGTON,2033,NSW,,,,
COOGEE,2034,NSW,,,,
